scope,company_name,keyword,keyword_type,priority,match_mode,notes
company,昆山亚香,扩产,focus,high,and,重点变化词
company,昆山亚香,项目,focus,medium,and,重点变化词
company,昆山亚香,合作,focus,high,and,重点变化词
company,昆山亚香,公告,focus,high,and,重点变化词
company,华恒生物,688639,alias,medium,and,股票代码识别
company,凯赛生物,688065,alias,medium,and,股票代码识别
company,川宁生物,301301,alias,medium,and,股票代码识别
company,昆山亚香,301220,alias,medium,and,股票代码识别
global,,年报,event,high,or,定期报告事件
global,,半年报,event,medium,or,定期报告事件
global,,一季报,event,medium,or,定期报告事件
global,,三季报,event,medium,or,定期报告事件
global,,财报,event,high,or,财务报告事件
global,,业绩,event,high,or,业绩相关事件
global,,业绩预告,event,high,or,业绩预告事件
global,,分红,event,medium,or,资本市场事件
