company_name,source_name,source_type,url,parser_type,crawl_frequency,is_active,priority,notes
恩和生物 Bota Bio,官方新闻页,web,https://bota.bio/bota-news/,news_page,daily,true,high,官方新闻页，适合抓取平台进展、合作、融资和产品能力更新
恩和生物 Bota Bio,解决方案页,web,https://bota.bio/performance-protein-solutions/,product_page,daily,true,medium,解决方案页，仅纳入事件库供 Event Query 搜索，不参与 New Events 和 Focus Events
CellX,新闻中心（英文）,web,https://www.cellx.co/en/news,news_page,daily,true,high,官方英文新闻中心，适合抓取公司新闻、量产和合作动态
CellX,新闻中心（中文站聚合）,web,https://cellx.co/zh,news_hub_page,daily,true,medium,中文站聚合入口，可辅助发现新闻、品牌动态和页面新增内容
CellX,业务与产品页,web,https://cellx.co/en,product_page,daily,true,medium,业务与产品介绍页，仅纳入事件库供 Event Query 搜索，不参与 New Events 和 Focus Events
昆山亚香,官网首页,web,http://www.asiaaroma.com/,news_hub_page,daily,true,high,按官网首页聚合页解析，优先发现公司动态、产品信息和站内新增内容
昆山亚香,天然香料产品页,web,http://www.asiaaroma.com/natural_spices.html,product_page,daily,true,medium,天然香料产品页，仅纳入事件库供 Event Query 搜索，不参与 New Events 和 Focus Events
昆山亚香,合成香料产品页,web,http://www.asiaaroma.com/synthetic_fragrances.html,product_page,daily,true,medium,合成香料产品页，仅纳入事件库供 Event Query 搜索，不参与 New Events 和 Focus Events
昆山亚香,凉味剂产品页,web,http://www.asiaaroma.com/cooling_agent.html,product_page,daily,true,medium,凉味剂产品页，仅纳入事件库供 Event Query 搜索，不参与 New Events 和 Focus Events
华恒生物,东方财富股票页,web,https://quote.eastmoney.com/kcb/688639.html,generic_web,daily,true,medium,东方财富股票页，适合补充股票概览、公告入口和财报入口
华恒生物,东方财富公告页,web,https://data.eastmoney.com/notices/stock/688639.html,news_page,daily,true,high,东方财富公告页，适合监控公告、年报、定期报告和项目披露
华恒生物,东方财富财务分析页,web,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/index?type=web&code=SH688639,generic_web,daily,true,medium,东方财富财务分析页，适合补充财报和业绩分析信息
凯赛生物,东方财富股票页,web,https://quote.eastmoney.com/kcb/688065.html,generic_web,daily,true,medium,东方财富股票页，适合补充股票概览、公告入口和财报入口
凯赛生物,东方财富公告页,web,https://data.eastmoney.com/notices/stock/688065.html,news_page,daily,true,high,东方财富公告页，适合监控公告、年报、定期报告和项目披露
凯赛生物,东方财富财务分析页,web,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/index?type=web&code=SH688065,generic_web,daily,true,medium,东方财富财务分析页，适合补充财报和业绩分析信息
川宁生物,东方财富股票页,web,https://quote.eastmoney.com/sz301301.html,generic_web,daily,true,medium,东方财富股票页，适合补充股票概览、公告入口和财报入口
川宁生物,东方财富公告页,web,https://data.eastmoney.com/notices/stock/301301.html,news_page,daily,true,high,东方财富公告页，适合监控公告、年报、定期报告和项目披露
川宁生物,东方财富财务分析页,web,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/index?type=web&code=SZ301301,generic_web,daily,true,medium,东方财富财务分析页，适合补充财报和业绩分析信息
昆山亚香,东方财富股票页,web,https://quote.eastmoney.com/sz301220.html,generic_web,daily,true,medium,东方财富股票页，适合补充股票概览、公告入口和财报入口
昆山亚香,东方财富公告页,web,https://data.eastmoney.com/notices/stock/301220.html,news_page,daily,true,high,东方财富公告页，适合监控公告、年报、定期报告和项目披露
昆山亚香,东方财富财务分析页,web,https://emweb.securities.eastmoney.com/PC_HSF10/NewFinanceAnalysis/index?type=web&code=SZ301220,generic_web,daily,true,medium,东方财富财务分析页，适合补充财报和业绩分析信息
